Provinsi;Kab/Kota;Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen);Rata-rata Lama Sekolah Penduduk 15+ (Tahun);Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun);Umur Harapan Hidup (Tahun);Persentase rumah tangga yang memiliki akses terhadap sanitasi layak;Persentase rumah tangga yang memiliki akses terhadap air minum layak;Tingkat Pengangguran Terbuka;Klasifikasi Kemiskinan
ACEH;Simeulue;18,98;9,48;7148;65,28;71,56;87,45;5,71;0
ACEH;Aceh Singkil;20,36;8,68;8776;67,43;69,56;78,58;8,36;1
ACEH;Aceh Selatan;13,18;8,88;8180;64,4;62,55;79,65;6,46;0
ACEH;Aceh Tenggara;13,41;9,67;8030;68,22;62,71;86,71;6,43;0
ACEH;Aceh Timur;14,45;8,21;8577;68,74;66,75;83,16;7,13;0
ACEH;Aceh Tengah;15,26;9,86;10780;68,86;90,58;90,1;2,61;0
ACEH;Aceh Barat;18,81;9,55;9593;67,99;89,6;94,22;7,09;0
ACEH;Aceh Besar;14,05;10,33;9644;69,79;87,4;82,36;7,7;0
ACEH;Pidie;19,59;9;9860;66,95;54,1;89,24;7,28;0
ACEH;Bireuen;13,25;9,29;8867;71,26;81,89;93,53;4,32;0
ACEH;Aceh Utara;17,43;8,64;8201;68,81;79,97;91,09;8,31;0
ACEH;Aceh Barat Daya;16,34;8,67;8428;65,06;65,71;95,34;4,04;0
ACEH;Gayo Lues;19,64;8,4;8856;65,53;47,63;84,68;1,84;0
ACEH;Aceh Tamiang;13,34;8,91;8367;69,63;87,45;83,12;5,87;0
ACEH;Nagan Raya;18,23;8,69;8292;69,24;74,86;90,13;4,99;0
ACEH;Aceh Jaya;13,23;8,71;9666;67,19;81,6;86,36;3,47;0
ACEH;Bener Meriah;19,16;10;11118;69,26;86,69;89,71;1,24;0
ACEH;Pidie Jaya;19,55;9,34;10290;70,18;74,3;93,46;3,57;0
ACEH;Kota Banda Aceh;7,61;12,83;16891;71,52;99,88;99,37;8,94;0
ACEH;Kota Sabang;15,32;11,18;11378;70,56;92,25;96,18;3,56;0
ACEH;Kota Langsa;10,96;11,12;12067;69,43;91,81;97,14;7,21;0
ACEH;Kota Lhokseumawe;11,16;11,11;11390;71,64;93,1;94,44;11,16;0
ACEH;Kota Subulussalam;17,65;8,03;7385;64,07;69,71;60,87;6,26;0
SUMATERA UTARA;Nias;16,82;5,64;6995;69,78;19,93;47,79;3,12;0
SUMATERA UTARA;Mandailing Natal;9,49;8,63;9771;62,65;35,73;73,78;6,12;0
SUMATERA UTARA;Tapanuli Selatan;8,8;9,29;11304;64,97;46,41;67,39;4;0
SUMATERA UTARA;Tapanuli Tengah;12,67;8,84;10138;67,24;57,56;68,81;7,24;0
SUMATERA UTARA;Tapanuli Utara;9,72;9,99;11710;68,76;83,79;89,06;1,54;0
SUMATERA UTARA;Toba Samosir;8,99;10,57;12224;70,29;89,54;95,04;0,83;0
SUMATERA UTARA;Labuhan Batu;8,74;9,25;11212;69,95;81,5;94,34;5,66;0
SUMATERA UTARA;Asahan;9,35;8,8;11030;68,37;89,09;95,78;6,39;0
SUMATERA UTARA;Simalungun;8,81;9,61;11376;71,37;91,75;99,74;4,17;0
SUMATERA UTARA;Dairi;8,31;9,59;10504;69,19;92,35;91,9;1,49;0
SUMATERA UTARA;Karo;8,79;10;12412;71,58;84,33;91,43;1,95;0
SUMATERA UTARA;Deli Serdang;4,01;10,1;12291;71,77;96,37;98,18;9,13;0
SUMATERA UTARA;Langkat;10,12;8,66;11142;68,97;80,76;92,51;5,12;0
SUMATERA UTARA;Nias Selatan;16,92;6,06;7041;68,86;13,14;66,21;3,91;0
SUMATERA UTARA;Humbang Hasundutan;9,65;9,71;8016;69,51;91,65;91,95;1,94;0
SUMATERA UTARA;Pakpak Bharat;9,35;9,14;8254;65,96;90,14;70,69;1,36;0
SUMATERA UTARA;Samosir;12,68;9,44;8504;71,41;91,09;65,64;0,7;0
SUMATERA UTARA;Serdang Bedagai;8,3;8,69;11017;68,82;93,19;98,14;3,93;0
SUMATERA UTARA;Batu Bara;12,38;8,07;10539;67,13;88,04;97,83;6,62;0
SUMATERA UTARA;Padang Lawas Utara;9,92;9,38;10055;67,22;67,17;77,58;3,19;0
SUMATERA UTARA;Padang Lawas;8,69;9,02;8921;67,13;59,62;77,84;4,07;0
SUMATERA UTARA;Labuhan Batu Selatan;8,53;8,9;11562;68,81;84,85;84,66;4,71;0
SUMATERA UTARA;Labuhan Batu Utara;10,02;8,41;11840;69,56;79,75;86,75;5,74;0
SUMATERA UTARA;Nias Utara;25,66;6,77;6155;69,55;46,09;58,17;3;1
SUMATERA UTARA;Nias Barat;26,42;6,69;5924;69,08;38,02;71,52;0,74;1
